Title,Index,Temp(C),Plg,volPlg,Olv,volOlv,Opx,volOpx,Cpx,volCpx,Hbl,volHbl,Amp,volAmp,Fe-Ti,volFe-Ti,rhm-Oxide,(vol%),Quartz(0:out/1:in),Biotite(0:out/1:in),Corundum(0:out/1:in),Water(0:out/1:in),Pressure,H2O
33,17,932,57,41.5,0,0,65,8.7,68,6.2,0,0,0,0,0.326,2.9,0,0,0,0,0,0,500,2
33,18,922,56,42.6,0,0,64,8.9,68,6.4,0,0,0,0,0.333,2.9,0,0,0,0,0,0,500,2
33,19,912,55,43.6,0,0,63,9.1,68,6.7,0,0,0,0,0.339,2.9,0,0,0,0,0,0,500,2
,,,,,,,,,,,,,,,,,,,,,,,,
34,1,1086,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,2
34,2,1076,77,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,2
34,3,1066,76,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,2
34,4,1056,75,7.4,0,0,74,0.8,0,0,0,0,0,0,0.24,0.4,0,0,0,0,0,0,500,2
34,5,1046,74,10.6,0,0,74,2,0,0,0,0,0,0,0.248,0.9,0,0,0,0,0,0,500,2
34,6,1036,72,15.2,0,0,73,3.5,0,0,0,0,0,0,0.259,1.4,0,0,0,0,0,0,500,2
34,7,1026,70,19.4,0,0,72,4.9,0,0,0,0,0,0,0.269,1.7,0,0,0,0,0,0,500,2
34,8,1016,68,22.9,0,0,71,5.8,71,0.5,0,0,0,0,0.277,2,0,0,0,0,0,0,500,2
34,9,1006,66,25.8,0,0,70,6.4,71,1.1,0,0,0,0,0.285,2.2,0,0,0,0,0,0,500,2
34,10,996,64,28.5,0,0,69,6.9,70,1.7,0,0,0,0,0.292,2.4,0,0,0,0,0,0,500,2
34,11,986,63,30.8,0,0,69,7.3,70,2.2,0,0,0,0,0.299,2.5,0,0,0,0,0,0,500,2
34,12,976,61,32.9,0,0,68,7.6,69,2.7,0,0,0,0,0.306,2.6,0,0,0,0,0,0,500,2
